sourate,versets,ahkam
1,1,101211021120
1,2,101011211102120
1,3,11021120
1,4,21110120
1,5,1211011112110120
1,6,1011121010120
1,7,1211211010111010101010211101011620
2,1,10121102112111066
2,2,211012121012111101120
2,3,112110121101011122112111411021012120
2,4,11211012114121111011412111210111102111102120
2,5,14111211211101141111010120
2,6,12121112141011010112101101010121010210120
2,7,11121121211011210110114102110121211101210120
2,8,111411212121412111010102111212110120
2,9,121212111212121210121141211101210120
2,10,21211212121112111211101210122122210120
2,11,1122111021012101012412210110120
2,12,14121011010121121210120
2,13,1122111021214211412411011142111141141210111141121210120
2,14,112121212122421411211012122110241411101221011010120
2,15,121101011110111110210211010120
2,16,141112101111211101212111121110122210120
2,17,111101111110101122116141021012111211211011111021121210120
2,18,121010102110210120
2,19,101111211412111221102110210121121110422112112111110101121122102120
2,20,1210101101110211011414111210211141011110102211041211111110110110211012211211102120
2,21,4111410121111121111011211210110111101120
2,22,11211111101011221141142112111114142110111211112110111012101212112221121010120
2,23,11212102101241102121012102121122012102114112221211212102120
2,24,11101012112101211241121211411012111110102120
2,25,11111212121112212112110142102121011010211121121021211111022221121102121011121211212111024102121112110222120
2,26,122121010412101111141212121012112121212110121121011111101121211121122124121211221121111212211021212212111141102120
2,27,1121121211012112101221211012141112114122111101211010114111102120
2,28,101101211211121010221102101212110121021012110110120
2,29,11121111141010112212014111411121210112221111111010120
2,30,11021111101411114212101011212241101122121011221101114111011111110111111111211610112210120
2,31,111121101041112121111011014111121121221104141411212102120
2,32,22102112101141221101412112101210120
2,33,214211121012110411011612111211041102111011110161011101122110101110112102112121010120
2,34,110102101411101212111114141021121010111211102120
2,35,110242110101211101101211121021110101101212101221111111122112120
2,36,111111102110211011121422211101012101101101011211101010110112112101220
2,37,1111221111121122121110112211121120
2,38,101012102122114101121241211211112112101011010121010120
2,39,1121112111212214141110214110222120
2,40,21410421012101111410101110101102110421110110112110120
2,41,1212141210111111211101212411121212121012122211212211211120
2,42,12101201110211110120111121010120
2,43,11221211221211012112120
2,44,110121411011112101121110112101021012111210120
2,45,10122110111211122112110121102120
2,46,1121114112122211101121011012120
2,47,21410421012101111410101110101141101101102120
2,48,1121012102101012021021210111021212121011102102121012120
2,49,110110212021101011221104101211112110411011010211411012211214121110120
2,50,110110211101011121021011010421101011121012120
2,51,11021022410121101212110110101121012112102120
2,52,121102121221012111111010120
2,53,11021022101211010211111010120
