Sourate_N,Verset_N,Verset_B,ROOTS
1,1,bi somi {ll~ahi {l r~aHoma`ni {l r~aHiymi, smw Alh  rHm  rHm
1,2,{lo Hamodu li l~ahi rab~i {lo Ea`lamiyna, Hmd  Alh rbb  Elm
1,3,{l r~aHoma`ni {l r~aHiymi, rHm  rHm
1,4,ma`liki yawomi {l d~iyni,mlk ywm  dyn
1,5,<iy~aAka naEobudu wa <iy~aAka nasotaEiynu, Ebd   Ewn
1,6,{hodi naA {l S~ira`Ta {lo musotaqiyma,hdy   SrT  qwm
1,7,Sira`Ta {l~a*iyna >anoEamo ta Ealayo himo gayori {lo magoDuwbi Ealayo himo wa laA {l D~aA^l~iyna,SrT  nEm    gyr  gDb      Dll
2,1,Al^m^,
2,2,*a`lika {lo kita`bu laA rayoba fiy hi hudFY l~i lo mut~aqiyna,  ktb  ryb   hdy   wqy
2,3,{l~a*iyna yu&ominu wna bi {lo gayobi wa yuqiymu wna {l S~alaw`pa wa mi m~aA razaqo na` humo yunfiqu wna, Amn    gyb  qwm   Slw    rzq   nfq 
2,4,wa {l~a*iyna yu&ominu wna bi maA^ >unzila <ilayo ka wa maA^ >unzila min qaboli ka wa bi {lo 'aAxirapi humo yuwqinu wna,  Amn    nzl     nzl  qbl     Axr  yqn 
2,5,>uw@la`^}ika EalaY` hudFY m~in r~ab~i himo wa >uw@la`^}ika humu {lo mufoliHuwna,  hdy  rbb      flH
2,6,<in~a {l~a*iyna kafaru wA@ sawaA^'N Ealayo himo 'a >an*aro ta humo >amo lamo tun*iro humo laA yu&ominu wna,  kfr  swy    n*r     n*r   Amn 
2,7,xatama {ll~ahu EalaY` quluwbi himo wa EalaY` samoEi himo wa EalaY`^ >aboSa`ri himo gi$a`wapN wa la humo Ea*aAbN EaZiymN,xtm Alh  qlb    smE    bSr  g$w    E*b EZm
2,8,wa mina {l n~aAsi man yaquwlu 'aAma n~aA bi {ll~ahi wa bi {lo yawomi {lo 'aAxiri wa maA hum bi mu&ominiyna,   nws  qwl Amn   Alh    ywm  Axr     Amn
2,9,yuxa`diEu wna {ll~aha wa {l~a*iyna 'aAmanu wA@ wa maA yaxodaEu wna <il~aA^ >anfusa humo wa maA ya$oEuru wna,xdE  Alh   Amn    xdE   nfs    $Er 
2,10,fiY quluwbi him m~araDN fa zaAda humu {ll~ahu maraDFA wa la humo Ea*aAbN >aliymN[ bi maA kaAnu wA@ yako*ibu wna, qlb  mrD  zyd  Alh mrD    E*b Alm   kwn  k*b 
2,11,wa <i*aA qiyla la humo laA tufosidu wA@ fiY {lo >aroDi qaAlu w^A@ <in~a maA naHonu muSoliHuwna,  qwl    fsd    ArD qwl     SlH
2,12,>alaA^ <in~a humo humu {lo mufosiduwna wa la`kin l~aA ya$oEuru wna,     fsd    $Er 
2,13,wa <i*aA qiyla la humo 'aAminu wA@ ka maA^ 'aAmana {l n~aAsu qaAlu w^A@ >a nu&ominu ka maA^ 'aAmana {l s~ufahaA^'u >alaA^ <in~a humo humu {l s~ufahaA^'u wa la`kin l~aA yaEolamu wna,  qwl   Amn    Amn  nws qwl   Amn   Amn  sfh      sfh    Elm 
2,14,wa <i*aA laqu wA@ {l~a*iyna 'aAmanu wA@ qaAlu w^A@ 'aAma n~aA wa <i*aA xala woA@ <ilaY` $aya`Tiyni himo qaAlu w^A@ <in~a A maEa kumo <in~a maA naHonu musotahozi'uwna,  lqy   Amn  qwl  Amn    xlw   $Tn  qwl         hzA
2,15,{ll~ahu yasotahozi}u bi himo wa yamud~u humo fiY Tugoya`ni himo yaEomahu wna,Alh hzA    mdd   Tgy  Emh 
2,16,>uw@la`^}ika {l~a*iyna {$otara wuA@ {l D~ala`lapa bi {lo hudaY` fa maA rabiHat t~ija`ratu humo wa maA kaAnu wA@ muhotadiyna,  $ry   Dll   hdy   rbH tjr    kwn  hdy
2,17,"mavalu humo ka mavali {l~a*iY {sotawoqada naArFA fa lam~aA^ >aDaA^'ato maA Hawola hu, *ahaba {ll~ahu bi nuwri himo wa taraka humo fiY Zuluma`tK l~aA yuboSiru wna",mvl   mvl  wqd nwr   DwA  Hwl  *hb Alh  nwr   trk   Zlm  bSr 
2,18,Sum~N[ bukomN EumoYN fa humo laA yarojiEu wna,Smm bkm Emy    rjE 
2,19,>awo ka Say~ibK m~ina {l s~amaA^'i fiy hi Zuluma`tN wa raEodN wa baroqN yajoEalu wna >aSa`biEa humo fiY^ 'aA*aAni him m~ina {l S~awa`Eiqi Ha*ara {lo mawoti wa {ll~ahu muHiyTN[ bi {lo ka`firiyna,  Swb   smw   Zlm  rEd  brq jEl  SbE   A*n    SEq H*r  mwt  Alh HwT   kfr
2,20,yakaAdu {lo baroqu yaxoTafu >aboSa`ra humo kul~amaA^ >aDaA^'a la hum m~a$a woA@ fiy hi wa <i*aA^ >aZolama Ealayo himo qaAmu wA@ wa lawo $aA^'a {ll~ahu la *ahaba bi samoEi himo wa >aboSa`ri himo <in~a {ll~aha EalaY` kul~i $aYo'K qadiyrN,"kwd  brq xTf bSr  kll
 DwA   m$y      Zlm   qwm    $yA Alh  *hb  smE   bSr   Alh  kll $yA qdr"
2,21,ya`^ >ay~uhaA {l n~aAsu {Eobudu wA@ rab~a kumu {l~a*iY xalaqa kumo wa {l~a*iyna min qaboli kumo laEal~a kumo tat~aqu wna,   nws Ebd  rbb   xlq     qbl    wqy 
2,22,{l~a*iY jaEala la kumu {lo >aroDa fira`$FA wa {l s~amaA^'a binaA^'F wa >anzala mina {l s~amaA^'i maA^'F fa >axoraja bi hi. mina {l v~amara`ti rizoqFA l~a kumo fa laA tajoEalu wA@ li l~ahi >andaAdFA wa >antumo taEolamu wna, jEl    ArD fr$   smw bny  nzl   smw mwh  xrj     vmr rzq     jEl   Alh ndd   Elm 
2,23,wa <in kun tumo fiY rayobK m~i m~aA naz~alo naA EalaY` Eabodi naA fa >otu wA@ bi suwrapK m~in m~ivoli hi. wa {doEu wA@ $uhadaA^'a kum m~in duwni {ll~ahi <in kun tumo Sa`diqiyna,  kwn   ryb   nzl   Ebd   Aty   swr  mvl   dEw  $hd   dwn Alh  kwn  Sdq
2,24,fa <in l~amo tafoEalu wA@ wa lan tafoEalu wA@ fa {t~aqu wA@ {l n~aAra {l~atiY waquwdu haA {l n~aAsu wa {lo HijaArapu >uEid~ato li lo ka`firiyna,   fEl    fEl   wqy   nwr  wqd   nws   Hjr Edd   kfr
2,25,wa ba$~iri {l~a*iyna 'aAmanu wA@ wa Eamilu wA@ {l S~a`liHa`ti >an~a la humo jan~a`tK tajoriY min taHoti haA {lo >anoha`ru kul~amaA ruziqu wA@ mino haA min vamarapK r~izoqFA qaAlu wA@ ha`*aA {l~a*iY ruziqo naA min qabolu wa >utu wA@ bi hi. muta$a`bihFA wa la humo fiy haA^ >azowa`jN m~uTah~arapN wa humo fiy haA xa`liduwna," b$r  Amn   Eml   SlH    jnn jry  tHt   nhr kll
 rzq     vmr rzq qwl    rzq   qbl  Aty    $bh      zwj Thr     xld"
2,26,<in~a {ll~aha laA yasotaHoYi.^ >an yaDoriba mavalFA m~aA baEuwDapF fa maA fawoqa haA fa >am~aA {l~a*iyna 'aAmanu wA@ fa yaEolamu wna >an~a hu {lo Haq~u min r~ab~i himo wa >am~aA {l~a*iyna kafaru wA@ fa yaquwlu wna maA*aA^ >araAda {ll~ahu bi ha`*aA mavalFA yuDil~u bi hi. kaviyrFA wa yahodiY bi hi. kaviyrFA wa maA yuDil~u bi hi.^ <il~aA {lo fa`siqiyna, Alh  Hyy  Drb mvl  bED   fwq     Amn   Elm     Hqq  rbb     kfr   qwl   rwd Alh   mvl Dll   kvr  hdy   kvr   Dll     fsq
2,27,{l~a*iyna yanquDu wna Eahoda {ll~ahi min[ baEodi miyva`qi hi. wa yaqoTaEu wna maA^ >amara {ll~ahu bi hi.^ >an yuwSala wa yufosidu wna fiY {lo >aroDi >uw@la`^}ika humu {lo xa`siruwna, nqD  Ehd Alh  bEd wvq   qTE   Amr Alh    wSl  fsd    ArD    xsr
2,28,kayofa takofuru wna bi {ll~ahi wa kun tumo >amowa`tFA fa >aHoya` kumo vum~a yumiytu kumo vum~a yuHoyiy kumo vum~a <ilayo hi turojaEu wna,"kyf
 kfr   Alh  kwn  mwt  Hyy   mwt   Hyy     rjE "
2,29,huwa {l~a*iY xalaqa la kum m~aA fiY {lo >aroDi jamiyEFA vum~a {sotawaY`^ <ilaY {l s~amaA^'i fa saw~aY` hun~a saboEa sama`wa`tK wa huwa bi kul~i $aYo'K EaliymN,  xlq      ArD jmE  swy   smw  swy  sbE smw    kll $yA Elm
2,30,wa <i*o qaAla rab~u ka li lo mala`^}ikapi <in~i Y jaAEilN fiY {lo >aroDi xaliyfapF qaAlu w^A@ >a tajoEalu fiy haA man yufosidu fiy haA wa yasofiku {l d~imaA^'a wa naHonu nusab~iHu bi Hamodi ka wa nuqad~isu la ka qaAla <in~i Y^ >aEolamu maA laA taEolamu wna,  qwl rbb    mlk   jEl   ArD xlf qwl   jEl    fsd    sfk  dmw   sbH  Hmd   qds   qwl   Elm   Elm 
2,31,wa Eal~ama 'aAdama {lo >asomaA^'a kul~a haA vum~a EaraDa humo EalaY {lo mala`^}ikapi fa qaAla >an[bi_#u w niY bi >asomaA^'i ha`^&ulaA^'i <in kun tumo Sa`diqiyna, Elm   smw kll   ErD    mlk  qwl nbA    smw   kwn  Sdq
2,32,qaAlu wA@ suboHa`na ka laA Eiloma la naA^ <il~aA maA Eal~amo ta naA^ <in~a ka >anta {lo Ealiymu {lo Hakiymu,qwl  sbH   Elm     Elm       Elm  Hkm
2,33,qaAla ya`^ _#aAdamu >an[bi}o hum bi >asomaA^}i himo fa lam~aA^ >an[ba>a hum bi >asomaA^}i himo qaAla >a lamo >aqul l~a kumo <in~i Y^ >aEolamu gayoba {l s~ama`wa`ti wa {lo >aroDi wa >aEolamu maA tubodu wna wa maA kun tumo takotumu wna,qwl   nbA   smw    nbA   smw  qwl   qwl     Elm gyb  smw   ArD  Elm  bdw    kwn  ktm 
2,34,wa <i*o qulo naA li lo mala`^}ikapi {sojudu wA@ li 'aAdama fa sajadu w^A@ <il~aA^ <iboliysa >abaY` wa {sotakobara wa kaAna mina {lo ka`firiyna,  qwl    mlk sjd     sjd    Aby  kbr  kwn   kfr
2,35,wa qulo naA ya`^ _#aAdamu {sokuno >anta wa zawoju ka {lo jan~apa wa kula A mino haA ragadFA Hayovu $i}o tumaA wa laA taqoraba A ha`*ihi {l $~ajarapa fa takuwna A mina {l Z~a`limiyna," qwl    skn   zwj   jnn  Akl    rgd Hyv
 $yA    qrb    $jr  kwn    Zlm"
2,36,fa >azal~a humaA {l $~ayoTa`nu Eano haA fa >axoraja humaA mi m~aA kaAna A fiy hi wa qulo naA {hobiTu wA@ baEoDu kumo li baEoDK Eaduw~N wa la kumo fiY {lo >aroDi musotaqar~N wa mata`EN <ilaY` HiynK, zll   $Tn    xrj    kwn     qwl  hbT  bED   bED Edw      ArD qrr  mtE  Hyn
2,37,"fa talaq~aY`^ 'aAdamu min r~ab~i hi. kalima`tK fa taAba Ealayo hi <in~a hu, huwa {l t~aw~aAbu {l r~aHiymu", lqy   rbb  klm  twb       twb  rHm
2,38,qulo naA {hobiTu wA@ mino haA jamiyEFA fa <im~aA ya>otiya n~a kum m~in~i Y hudFY fa man tabiEa hudaA Ya fa laA xawofN Ealayo himo wa laA humo yaHozanu wna,qwl  hbT    jmE   Aty     hdy   tbE hdy    xwf      Hzn 
2,39,wa {l~a*iyna kafaru wA@ wa ka*~abu wA@ bi _#aAya`ti naA^ >uw@la`^}ika >aSoHa`bu {l n~aAri humo fiy haA xa`liduwna,  kfr   k*b   Ayy   SHb  nwr    xld
2,40,ya` baniY^ <isora`^'iyla {*okuru wA@ niEomati Ya {l~atiY^ >anoEamo tu Ealayo kumo wa >awofu wA@ bi Eahodi Y^ >uwfi bi Eahodi kumo wa <iy~a`Ya fa {rohabu w ni, bny  *kr  nEm   nEm     wfy   Ehd  wfy  Ehd     rhb  
2,41,wa 'aAminu wA@ bi maA^ >anzalo tu muSad~iqFA l~i maA maEa kumo wa laA takuwnu w^A@ >aw~ala kaAfirK] bi hi. wa laA ta$otaru wA@ bi _#aAya`ti Y vamanFA qaliylFA wa <iy~a`Ya fa {t~aqu w ni, Amn    nzl  Sdq       kwn  Awl kfr     $ry   Ayy  vmn qll    wqy  
2,42,wa laA talobisu wA@ {lo Haq~a bi {lo ba`Tili wa takotumu wA@ {lo Haq~a wa >antumo taEolamu wna,  lbs   Hqq   bTl  ktm   Hqq   Elm 
2,43,wa >aqiymu wA@ {l S~alaw`pa wa 'aAtu wA@ {l z~akaw`pa wa {rokaEu wA@ maEa {l r~a`kiEiyna, qwm   Slw  Aty   zkw  rkE    rkE
2,44,>a ta>omuru wna {l n~aAsa bi {lo bir~i wa tansa wona >anfusa kumo wa >antumo tatolu wna {lo kita`ba >a fa laA taEoqilu wna, Amr   nws   brr  nsy  nfs    tlw   ktb    Eql 
2,45,wa {sotaEiynu wA@ bi {l S~abori wa {l S~alaw`pi wa <in~a haA la kabiyrapN <il~aA EalaY {lo xa`$iEiyna, Ewn    Sbr   Slw     kbr    x$E
2,46,{l~a*iyna yaZun~u wna >an~a hum m~ula`quwA@ rab~i himo wa >an~a humo <ilayo hi ra`jiEuwna, Znn    lqy rbb       rjE
2,47,ya` baniY^ <isora`^'iyla {*okuru wA@ niEomati Ya {l~atiY^ >anoEamo tu Ealayo kumo wa >an~i Y faD~alo tu kumo EalaY {lo Ea`lamiyna, bny  *kr  nEm   nEm       fDl     Elm
2,48,wa {t~aqu wA@ yawomFA l~aA tajoziY nafosN Ean n~afosK $ayo_#FA wa laA yuqobalu mino haA $afa`EapN wa laA yu&oxa*u mino haA EadolN wa laA humo yunSaru wna, wqy  ywm  jzy nfs  nfs $yA   qbl   $fE   Ax*   Edl    nSr 
2,49,wa <i*o naj~ayo na` kum m~ino 'aAli firoEawona yasuwmu wna kumo suw^'a {lo Ea*aAbi yu*ab~iHu wna >abonaA^'a kumo wa yasotaHoyu wna nisaA^'a kumo wa fiY *a`likum balaA^'N m~in r~ab~i kumo EaZiymN,  njw    Awl  swm   swA  E*b *bH  bny   Hyy  nsw     blw  rbb  EZm
2,50,wa <i*o faraqo naA bi kumu {lo baHora fa >anjayo na` kumo wa >agoraqo naA^ 'aAla firoEawona wa >antumo tanZuru wna,  frq     bHr  njw    grq  Awl    nZr 
2,51,wa <i*o wa`Eado naA muwsaY`^ >arobaEiyna layolapF vum~a {t~axa*o tumu {lo Eijola min[ baEodi hi. wa >antumo Za`limuwna,  wEd   rbE lyl  Ax*   Ejl  bEd    Zlm
2,52,vum~a Eafawo naA Ean kum m~in[ baEodi *a`lika laEal~a kumo ta$okuru wna, Efw     bEd    $kr 
2,53,wa <i*o 'aAtayo naA muwsaY {lo kita`ba wa {lo furoqaAna laEal~a kumo tahotadu wna,  Aty    ktb   frq   hdy 
