Unnamed: 0_nan_league,Unnamed: 2_nan_team,Unnamed: 3_nan_player,nation_nan_nan,pos_nan_nan,age_nan_nan,Playing Time_MP_nan,Playing Time.2_Min_nan,Tackles.1_TklW_nan,Challenges.2_Tkl%_nan,Blocks_Blocks_nan,Blocks.2_Pass_nan,Int_nan_nan
ENG-Premier League,Arsenal,Bukayo Saka,ENG,"FW,MF",23-256,24,1701,15,52.2,22,22,3.0
ENG-Premier League,Arsenal,David Raya,ESP,GK,29-246,37,3330,0,0.0,0,0,2.0
ENG-Premier League,Arsenal,Declan Rice,ENG,MF,26-125,34,2735,25,43.6,25,13,25.0
ENG-Premier League,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18-059,25,821,7,38.9,8,6,2.0
ENG-Premier League,Arsenal,Gabriel Jesus,BRA,FW,28-046,17,608,6,44.4,10,9,4.0
ENG-Premier League,Arsenal,Gabriel Magalhães,BRA,DF,27-151,28,2363,15,75.0,42,13,16.0
ENG-Premier League,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-335,32,2221,15,30.4,14,14,5.0
ENG-Premier League,Arsenal,Jakub Kiwior,POL,DF,25-093,16,1032,8,78.6,11,4,6.0
ENG-Premier League,Arsenal,Jorginho,ITA,MF,33-150,15,704,4,40.0,3,3,7.0
ENG-Premier League,Arsenal,Jurriën Timber,NED,DF,23-336,30,2417,38,66.7,19,15,22.0
ENG-Premier League,Arsenal,Kai Havertz,GER,"FW,MF",25-342,22,1854,9,26.7,23,19,6.0
ENG-Premier League,Arsenal,Kieran Tierney,SCO,"DF,FW",27-348,12,197,5,66.7,0,0,2.0
ENG-Premier League,Arsenal,Leandro Trossard,BEL,FW,30-166,37,2518,20,35.3,32,32,9.0
ENG-Premier League,Arsenal,Martin Ødegaard,NOR,MF,26-153,29,2309,11,16.7,5,5,6.0
ENG-Premier League,Arsenal,Mikel Merino,ESP,"MF,FW",28-331,27,1496,26,54.5,18,13,15.0
ENG-Premier League,Arsenal,Myles Lewis-Skelly,ENG,DF,18-235,22,1348,14,90.9,3,2,7.0
ENG-Premier League,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-155,14,458,1,28.6,6,5,4.0
ENG-Premier League,Arsenal,Raheem Sterling,ENG,"FW,MF",30-162,16,437,4,50.0,3,3,1.0
ENG-Premier League,Arsenal,Reiss Nelson,ENG,FW,25-160,1,3,0,0.0,0,0,0.0
ENG-Premier League,Arsenal,Reiss Nelson,ENG,FW,25-160,11,487,0,0.0,0,0,0.0
ENG-Premier League,Arsenal,Riccardo Calafiori,ITA,DF,23-000,19,983,19,62.1,12,6,9.0
ENG-Premier League,Arsenal,Thomas Partey,GHA,"MF,DF",31-340,34,2707,53,60.8,28,20,35.0
ENG-Premier League,Arsenal,William Saliba,FRA,DF,24-056,35,3039,37,75.0,25,10,21.0
ENG-Premier League,Aston Villa,Amadou Onana,BEL,MF,23-276,25,1555,28,53.6,15,8,26.0
ENG-Premier League,Aston Villa,Andrés García,ESP,"DF,MF",22-101,7,318,5,50.0,2,2,2.0
ENG-Premier League,Aston Villa,Axel Disasi,FRA,DF,27-069,7,490,5,42.9,4,3,5.0
ENG-Premier League,Aston Villa,Axel Disasi,FRA,DF,27-069,6,364,5,42.9,4,3,5.0
ENG-Premier League,Aston Villa,Boubacar Kamara,FRA,MF,25-177,25,1643,21,51.8,18,11,19.0
ENG-Premier League,Aston Villa,Diego Carlos,BRA,DF,32-065,10,830,3,66.7,13,6,5.0
ENG-Premier League,Aston Villa,Donyell Malen,NED,FW,26-130,13,298,4,25.0,2,2,0.0
ENG-Premier League,Aston Villa,Donyell Malen,NED,FW,26-130,14,614,4,25.0,2,2,0.0
ENG-Premier League,Aston Villa,Emi Buendía,ARG,"MF,FW",28-145,12,98,6,0.0,5,4,0.0
ENG-Premier League,Aston Villa,Emi Buendía,ARG,"MF,FW",28-145,11,257,6,0.0,5,4,0.0
ENG-Premier League,Aston Villa,Emiliano Martínez,ARG,GK,32-259,36,3150,3,100.0,1,1,0.0
ENG-Premier League,Aston Villa,Ezri Konsa,ENG,DF,27-208,33,2846,18,80.0,18,8,22.0
ENG-Premier League,Aston Villa,Ian Maatsen,NED,DF,23-070,28,1049,17,70.8,13,13,15.0
ENG-Premier League,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-356,28,1595,15,50.0,23,19,8.0
ENG-Premier League,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",23-100,11,332,5,66.7,5,5,3.0
ENG-Premier League,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",23-100,10,474,5,66.7,5,5,3.0
ENG-Premier League,Aston Villa,John McGinn,SCO,"MF,FW",30-213,33,2162,24,41.9,22,20,14.0
ENG-Premier League,Aston Villa,Jáder Durán,COL,FW,21-157,20,638,7,25.0,5,5,0.0
ENG-Premier League,Aston Villa,Kosta Nedeljković,SRB,DF,19-154,5,126,5,66.7,1,1,0.0
ENG-Premier League,Aston Villa,Kosta Nedeljković,SRB,DF,19-154,10,479,5,66.7,1,1,0.0
ENG-Premier League,Aston Villa,Lamare Bogarde,NED,"DF,MF",21-134,8,476,6,62.5,5,2,1.0
ENG-Premier League,Aston Villa,Leon Bailey,JAM,"FW,MF",27-283,24,1139,5,27.3,6,6,3.0
ENG-Premier League,Aston Villa,Lucas Digne,FRA,DF,31-303,32,2351,38,66.7,23,19,25.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,MF,29-118,12,699,5,33.3,7,6,2.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,MF,29-118,12,618,5,33.3,7,6,2.0
ENG-Premier League,Aston Villa,Marcus Rashford,ENG,FW,27-200,10,444,7,66.7,2,2,1.0
ENG-Premier League,Aston Villa,Marcus Rashford,ENG,FW,27-200,15,978,7,66.7,2,2,1.0
ENG-Premier League,Aston Villa,Matty Cash,POL,DF,27-285,26,1980,30,69.2,21,13,22.0
ENG-Premier League,Aston Villa,Morgan Rogers,ENG,"FW,MF",22-297,36,3031,22,50.0,26,19,5.0
ENG-Premier League,Aston Villa,Ollie Watkins,ENG,FW,29-140,37,2508,7,27.3,11,8,8.0
ENG-Premier League,Aston Villa,Pau Torres,ESP,DF,28-123,23,1930,15,58.8,14,4,9.0
ENG-Premier League,Aston Villa,Robin Olsen,SWE,GK,35-131,3,180,0,100.0,0,0,0.0
ENG-Premier League,Aston Villa,Ross Barkley,ENG,MF,31-165,19,574,3,64.3,9,6,10.0
ENG-Premier League,Aston Villa,Tyrone Mings,ENG,DF,32-067,14,1120,6,100.0,13,2,7.0
ENG-Premier League,Aston Villa,Youri Tielemans,BEL,MF,28-012,35,2997,57,54.8,37,21,22.0
ENG-Premier League,Bournemouth,Adam Smith,ENG,DF,34-020,23,1478,10,48.0,12,7,14.0
ENG-Premier League,Bournemouth,Alex Scott,ENG,MF,21-271,19,754,14,45.2,17,13,10.0
