League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,Goals,Assists,Sot%,SoT/90,xG,keyPasses,FinalThirdPasses,PrgP
ENG-Premier League,Arsenal,Gabriel Jesus,BRA,28-046,17,608,3,0,35.0,1.04,3.0,8.0,10.0,19.0
ENG-Premier League,Arsenal,Leandro Trossard,BEL,30-166,37,2518,8,6,29.6,0.75,7.1,40.0,45.0,101.0
ENG-Premier League,Arsenal,Nathan Butler-Oyedeji,ENG,22-135,1,7,0,0,100.0,12.86,0.1,0.0,0.0,0.0
ENG-Premier League,Aston Villa,Donyell Malen,NED,26-130,13,298,3,0,60.0,2.72,2.2,2.0,2.0,5.0
ENG-Premier League,Aston Villa,Donyell Malen,NED,26-130,13,298,3,0,60.0,2.72,2.2,1.0,6.0,17.0
ENG-Premier League,Aston Villa,Donyell Malen,NED,26-130,14,614,3,0,60.0,2.72,2.2,2.0,2.0,5.0
ENG-Premier League,Aston Villa,Donyell Malen,NED,26-130,14,614,3,0,60.0,2.72,2.2,1.0,6.0,17.0
ENG-Premier League,Aston Villa,Jáder Durán,COL,21-157,20,638,7,0,48.4,2.12,4.9,4.0,10.0,13.0
ENG-Premier League,Aston Villa,Marcus Rashford,ENG,27-200,10,444,2,2,27.8,1.01,3.1,13.0,2.0,13.0
ENG-Premier League,Aston Villa,Marcus Rashford,ENG,27-200,10,444,2,2,27.8,1.01,3.1,15.0,13.0,21.0
ENG-Premier League,Aston Villa,Marcus Rashford,ENG,27-200,15,978,4,1,27.8,1.01,3.1,13.0,2.0,13.0
ENG-Premier League,Aston Villa,Marcus Rashford,ENG,27-200,15,978,4,1,27.8,1.01,3.1,15.0,13.0,21.0
ENG-Premier League,Aston Villa,Ollie Watkins,ENG,29-140,37,2508,16,8,43.9,1.29,15.3,24.0,12.0,29.0
ENG-Premier League,Bournemouth,Antoine Semenyo,GHA,25-132,35,3023,9,5,31.7,1.13,9.5,46.0,48.0,107.0
ENG-Premier League,Bournemouth,Dango Ouattara,BFA,23-097,32,2005,7,4,32.3,0.9,8.4,35.0,21.0,43.0
ENG-Premier League,Bournemouth,Daniel Jebbison,ENG,21-279,14,83,0,0,33.3,1.08,0.7,3.0,1.0,3.0
ENG-Premier League,Bournemouth,Evanilson,BRA,25-225,29,2148,10,1,45.6,1.3,11.7,23.0,14.0,25.0
ENG-Premier League,Brentford,Bryan Mbeumo,CMR,25-285,37,3324,19,7,42.9,0.89,12.0,68.0,63.0,138.0
ENG-Premier League,Brentford,Kevin Schade,GER,23-173,37,2214,11,2,47.2,1.02,8.1,22.0,31.0,36.0
ENG-Premier League,Brentford,Yoane Wissa,COD,28-258,34,2829,19,4,46.0,1.27,18.3,25.0,43.0,64.0
ENG-Premier League,Brighton,Danny Welbeck,ENG,34-174,29,2032,10,4,37.7,0.89,8.9,20.0,17.0,45.0
ENG-Premier League,Brighton,Evan Ferguson,IRL,20-212,13,246,1,0,28.6,0.73,0.5,3.0,1.0,1.0
ENG-Premier League,Brighton,Evan Ferguson,IRL,20-212,13,246,1,0,28.6,0.73,0.5,2.0,1.0,1.0
ENG-Premier League,Brighton,Evan Ferguson,IRL,20-212,8,156,0,0,28.6,0.73,0.5,3.0,1.0,1.0
