League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,TklW,Blocks,Cmp%,LongCmp%,xAG,keyPasses,FinalThirdPasses,PrgP
ENG-Premier League,Arsenal,Declan Rice,ENG,26-125,34,2735,25,25,83.3,48.7,6.5,56.0,128.0,183.0
ENG-Premier League,Arsenal,Jorginho,ITA,33-150,15,704,4,3,86.7,58.3,0.4,3.0,44.0,48.0
ENG-Premier League,Arsenal,Martin Ødegaard,NOR,26-153,29,2309,11,5,82.6,54.2,5.4,63.0,130.0,255.0
ENG-Premier League,Aston Villa,Amadou Onana,BEL,23-276,25,1555,28,15,87.9,70.5,0.6,9.0,66.0,72.0
ENG-Premier League,Aston Villa,Boubacar Kamara,FRA,25-177,25,1643,21,18,88.7,53.3,0.9,11.0,89.0,84.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,699,5,7,77.7,35.5,1.0,15.0,19.0,43.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,699,5,7,86.9,73.1,2.7,16.0,31.0,36.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,618,5,7,77.7,35.5,1.0,15.0,19.0,43.0
ENG-Premier League,Aston Villa,Marco Asensio,ESP,29-118,12,618,5,7,86.9,73.1,2.7,16.0,31.0,36.0
ENG-Premier League,Aston Villa,Ross Barkley,ENG,31-165,19,574,3,9,86.0,68.4,0.6,9.0,30.0,33.0
ENG-Premier League,Aston Villa,Youri Tielemans,BEL,28-012,35,2997,57,37,82.1,54.1,6.9,59.0,228.0,234.0
ENG-Premier League,Bournemouth,Alex Scott,ENG,21-271,19,754,14,17,83.6,57.1,0.9,12.0,41.0,52.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,10,184,5,3,68.6,26.7,1.1,9.0,9.0,15.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,10,184,5,3,77.7,100.0,0.1,3.0,6.0,5.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,9,191,5,3,68.6,26.7,1.1,9.0,9.0,15.0
ENG-Premier League,Bournemouth,Philip Billing,DEN,28-342,9,191,5,3,77.7,100.0,0.1,3.0,6.0,5.0
ENG-Premier League,Bournemouth,Ryan Christie,SCO,30-086,29,2117,33,44,79.3,48.8,3.5,41.0,118.0,137.0
ENG-Premier League,Bournemouth,Tyler Adams,USA,26-094,26,1785,48,33,84.0,55.2,1.0,17.0,63.0,69.0
ENG-Premier League,Brentford,Christian Nørgaard,DEN,31-070,33,2729,46,52,81.1,58.6,1.0,17.0,134.0,146.0
ENG-Premier League,Brentford,Frank Onyeka,NGA,27-138,2,25,0,0,83.6,66.3,1.3,17.0,70.0,106.0
ENG-Premier League,Brentford,Frank Onyeka,NGA,27-138,31,2586,0,0,83.6,66.3,1.3,17.0,70.0,106.0
ENG-Premier League,Brentford,Mathias Jensen,DEN,29-138,23,851,10,13,74.9,53.5,1.7,16.0,41.0,60.0
ENG-Premier League,Brentford,Vitaly Janelt,GER,27-009,32,2254,22,33,82.5,55.9,2.2,14.0,78.0,80.0
ENG-Premier League,Brentford,Yehor Yarmoliuk,UKR,21-079,30,1360,26,25,86.4,83.1,0.9,9.0,64.0,58.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,2,98,3,1,86.6,57.1,0.0,0.0,12.0,11.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,2,98,3,1,88.0,70.5,1.6,19.0,60.0,65.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,25,1087,3,1,86.6,57.1,0.0,0.0,12.0,11.0
ENG-Premier League,Brighton,Billy Gilmour,SCO,23-342,25,1087,3,1,88.0,70.5,1.6,19.0,60.0,65.0
ENG-Premier League,Brighton,Carlos Baleba,CMR,21-136,32,2481,42,44,87.3,63.2,1.3,20.0,105.0,114.0
ENG-Premier League,Brighton,Diego Gómez,PAR,22-053,14,453,10,12,79.5,52.2,0.5,5.0,13.0,22.0
ENG-Premier League,Brighton,James Milner,ENG,39-135,3,169,2,4,75.3,40.0,0.2,4.0,3.0,10.0
ENG-Premier League,Brighton,Matt O'Riley,DEN,24-179,19,905,9,7,76.4,46.8,1.7,19.0,30.0,36.0
ENG-Premier League,Brighton,Yasin Ayari,SWE,21-225,32,1848,31,23,81.4,39.1,2.2,28.0,55.0,72.0
ENG-Premier League,Chelsea,Cole Palmer,ENG,23-013,36,3101,18,16,77.2,60.0,10.5,85.0,161.0,212.0
ENG-Premier League,Chelsea,Enzo Fernández,ARG,24-122,35,2857,33,42,80.1,58.0,6.7,76.0,166.0,211.0
ENG-Premier League,Chelsea,Mathis Amougou,FRA,19-121,1,8,0,0,77.1,56.0,0.4,7.0,23.0,36.0
ENG-Premier League,Chelsea,Mathis Amougou,FRA,19-121,17,859,0,0,77.1,56.0,0.4,7.0,23.0,36.0
ENG-Premier League,Chelsea,Roméo Lavia,BEL,21-133,15,768,13,6,91.8,84.0,0.7,7.0,49.0,31.0
ENG-Premier League,Crystal Palace,Adam Wharton,ENG,20-351,20,1318,14,11,75.6,65.4,3.0,26.0,78.0,107.0
ENG-Premier League,Crystal Palace,Cheick Doucouré,MLI,25-131,13,452,8,4,85.3,80.0,0.0,1.0,17.0,19.0
ENG-Premier League,Crystal Palace,Daichi Kamada,JPN,28-287,32,1454,28,22,80.0,59.3,1.9,20.0,45.0,83.0
ENG-Premier League,Crystal Palace,Ismaila Sarr,SEN,27-083,36,2559,10,25,66.4,46.8,7.8,42.0,28.0,81.0
ENG-Premier League,Crystal Palace,Justin Devenny,NIR,21-220,21,433,9,3,71.8,40.9,0.4,6.0,15.0,17.0
