Surate_N,Verset_N,Mot_N,Morpheme_N,MORPHEME,LEM,ROOT
1,1,1,1,bi,,
1,1,1,2,somi,{som,smw
1,1,2,1,{ll~ahi,{ll~ah,Alh
1,1,3,1,{l,,
1,1,3,2,r~aHoma`ni,r~aHoma`n,rHm
1,1,4,1,{l,,
1,1,4,2,r~aHiymi,r~aHiym,rHm
1,2,1,1,{lo,,
1,2,1,2,Hamodu,Hamod,Hmd
1,2,2,1,li,,
1,2,2,2,l~ahi,{ll~ah,Alh
1,2,3,1,rab~i,rab~,rbb
1,2,4,1,{lo,,
1,2,4,2,Ea`lamiyna,Ea`lamiyn,Elm
1,3,1,1,{l,,
1,3,1,2,r~aHoma`ni,r~aHoma`n,rHm
1,3,2,1,{l,,
1,3,2,2,r~aHiymi,r~aHiym,rHm
1,4,1,1,ma`liki,ma`lik,mlk
1,4,2,1,yawomi,yawom,ywm
1,4,3,1,{l,,
1,4,3,2,d~iyni,diyn,dyn
1,5,1,1,<iy~aAka,<iy~aA,
1,5,2,1,naEobudu,Eabada,Ebd
1,5,3,1,wa,,
1,5,3,2,<iy~aAka,<iy~aA,
1,5,4,1,nasotaEiynu,{sotaEiynu,Ewn
1,6,1,1,{hodi,hadaY,hdy
1,6,1,2,naA,,
1,6,2,1,{l,,
1,6,2,2,S~ira`Ta,Sira`T,SrT
1,6,3,1,{lo,,
1,6,3,2,musotaqiyma,m~usotaqiym,qwm
1,7,1,1,Sira`Ta,Sira`T,SrT
1,7,2,1,{l~a*iyna,{l~a*iY,
1,7,3,1,>anoEamo,>anoEama,nEm
1,7,3,2,ta,,
1,7,4,1,Ealayo,"EalaY`
",
1,7,4,2,himo,,
1,7,5,1,gayori,gayor,gyr
1,7,6,1,{lo,,
1,7,6,2,magoDuwbi,magoDuwb,gDb
1,7,7,1,Ealayo,"EalaY`
",
1,7,7,2,himo,,
1,7,8,1,wa,,
1,7,8,2,laA,"laA
",
1,7,9,1,{l,,
1,7,9,2,D~aA^l~iyna,DaA^l~,Dll
2,1,1,1,Al^m^,,
2,2,1,1,*a`lika,*a`lik,
2,2,2,1,{lo,,
2,2,2,2,kita`bu,kita`b,ktb
2,2,3,1,laA,laA,
2,2,4,1,rayoba,rayob,ryb
2,2,5,1,fiy,"fiY
",
2,2,5,2,hi,,
2,2,6,1,hudFY,hudFY,hdy
2,2,7,1,l~i,,
2,2,7,2,lo,,
2,2,7,3,mut~aqiyna,mut~aqiyn,wqy
2,3,1,1,{l~a*iyna,{l~a*iY,
2,3,2,1,yu&ominu,'aAmana,Amn
2,3,2,2,wna,,
2,3,3,1,bi,,
2,3,3,2,{lo,,
2,3,3,3,gayobi,gayob,gyb
2,3,4,1,wa,,
2,3,4,2,yuqiymu,>aqaAma,qwm
2,3,4,3,wna,,
2,3,5,1,{l,,
2,3,5,2,S~alaw`pa,Salaw`p,Slw
2,3,6,1,wa,,
2,3,6,2,mi,"min
",
2,3,6,3,m~aA,"maA
",
2,3,7,1,razaqo,razaqa,rzq
2,3,7,2,na`,,
2,3,7,3,humo,,
2,3,8,1,yunfiqu,>anfaqa,nfq
2,3,8,2,wna,,
2,4,1,1,wa,,
2,4,1,2,{l~a*iyna,{l~a*iY,
2,4,2,1,yu&ominu,'aAmana,Amn
2,4,2,2,wna,,
2,4,3,1,bi,,
2,4,3,2,maA^,"maA
",
2,4,4,1,>unzila,>anzala,nzl
2,4,5,1,<ilayo,"<ilaY`
",
2,4,5,2,ka,,
2,4,6,1,wa,,
2,4,6,2,maA^,"maA
",
2,4,7,1,>unzila,>anzala,nzl
2,4,8,1,min,"min
",
2,4,9,1,qaboli,qabol,qbl
2,4,9,2,ka,,
2,4,10,1,wa,,
2,4,10,2,bi,,
2,4,10,3,{lo,,
2,4,10,4,'aAxirapi,A^xir,Axr
2,4,11,1,humo,,
2,4,12,1,yuwqinu,yuwqinu,yqn
2,4,12,2,wna,,
2,5,1,1,>uw@la`^}ika,>uwla`^}ik,
2,5,2,1,EalaY`,"EalaY`
",
2,5,3,1,hudFY,hudFY,hdy
2,5,4,1,m~in,"min
",
2,5,5,1,r~ab~i,rab~,rbb
2,5,5,2,himo,,
2,5,6,1,wa,,
2,5,6,2,>uw@la`^}ika,>uwla`^}ik,
2,5,7,1,humu,,
2,5,8,1,{lo,,
2,5,8,2,mufoliHuwna,mufoliHuwn,flH
2,6,1,1,<in~a,<in~,
2,6,2,1,{l~a*iyna,{l~a*iY,
2,6,3,1,kafaru,kafara,kfr
2,6,3,2,wA@,,
2,6,4,1,sawaA^'N,sawaA^',swy
2,6,5,1,Ealayo,"EalaY`
",
2,6,5,2,himo,,
2,6,6,1,'a,,
2,6,6,2,>an*aro,>an*ara,n*r
2,6,6,3,ta,,
2,6,6,4,humo,,
2,6,7,1,>amo,">am
",
2,6,8,1,lamo,"lam
",
2,6,9,1,tun*iro,>an*ara,n*r
2,6,9,2,humo,,
2,6,10,1,laA,"laA
",
2,6,11,1,yu&ominu,'aAmana,Amn
2,6,11,2,wna,,
2,7,1,1,xatama,xatama,xtm
2,7,2,1,{ll~ahu,{ll~ah,Alh
2,7,3,1,EalaY`,"EalaY`
",
2,7,4,1,quluwbi,qalob,qlb
2,7,4,2,himo,,
2,7,5,1,wa,,
2,7,5,2,EalaY`,"EalaY`
",
2,7,6,1,samoEi,samoE,smE
2,7,6,2,himo,,
2,7,7,1,wa,,
2,7,7,2,EalaY`^,"EalaY`
",
2,7,8,1,>aboSa`ri,baSar,bSr
2,7,8,2,himo,,
2,7,9,1,gi$a`wapN,gi$a`wap,g$w
2,7,10,1,wa,,
2,7,10,2,la,,
2,7,10,3,humo,,
2,7,11,1,Ea*aAbN,Ea*aAb,E*b
2,7,12,1,EaZiymN,EaZiym,EZm
2,8,1,1,wa,,
2,8,1,2,mina,"min
",
2,8,2,1,{l,,
2,8,2,2,n~aAsi,n~aAs,nws
2,8,3,1,man,"man
",
2,8,4,1,yaquwlu,qaAla,qwl
2,8,5,1,'aAma,'aAmana,Amn
2,8,5,2,n~aA,,
2,8,6,1,bi,,
2,8,6,2,{ll~ahi,{ll~ah,Alh
2,8,7,1,wa,,
2,8,7,2,bi,,
2,8,7,3,{lo,,
2,8,7,4,yawomi,yawom,ywm
2,8,8,1,{lo,,
2,8,8,2,'aAxiri,A^xir,Axr
2,8,9,1,wa,,
2,8,9,2,maA,maA,
2,8,10,1,hum,,
2,8,11,1,bi,,
2,8,11,2,mu&ominiyna,mu&omin,Amn
2,9,1,1,yuxa`diEu,yuxa`diEu,xdE
2,9,1,2,wna,,
2,9,2,1,{ll~aha,{ll~ah,Alh
2,9,3,1,wa,,
2,9,3,2,{l~a*iyna,{l~a*iY,
2,9,4,1,'aAmanu,'aAmana,Amn
2,9,4,2,wA@,,
2,9,5,1,wa,,
2,9,5,2,maA,"maA
",
2,9,6,1,yaxodaEu,yaxodaEu,xdE
2,9,6,2,wna,,
2,9,7,1,<il~aA^,"<il~aA
",
2,9,8,1,>anfusa,nafos,nfs
2,9,8,2,humo,,
2,9,9,1,wa,,
2,9,9,2,maA,"maA
",
2,9,10,1,ya$oEuru,ya$oEuru,$Er
2,9,10,2,wna,,
2,10,1,1,fiY,"fiY
",
2,10,2,1,quluwbi,qalob,qlb
2,10,2,2,him,,
2,10,3,1,m~araDN,m~araD,mrD
2,10,4,1,fa,,
2,10,4,2,zaAda,zaAda,zyd
